,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Sales,,,,,,,Row Labels,Sum of Sales,,,,,,,,Row Labels,Count of Category
2015,"$479,856.21",,,,,,,Furniture,"$728,658.58",,,,,,,,Furniture,2078
2016,"$459,436.01",,,,,,,Bookcases,"$113,813.20",,,,,,,,Office Supplies,5909
2017,"$600,192.55",,,,,,,Chairs,"$322,822.73",,,,,,,,Technology,1813
2018,"$722,052.02",,,,,,,Furnishings,"$89,212.02",,,,,,,,Grand Total,9800
Grand Total,"$2,261,536.78",,,,,,,Tables,"$202,810.63",,,,,,,,,
,,,,,,,,Office Supplies,"$705,422.33",,,,,,,,,
,,,,,,,,Appliances,"$104,618.40",,,,,,,,,
,,,,,,,,Art,"$26,705.41",,,,,,,,,
,,,,,,,,Binders,"$200,028.79",,,,,,,,,
,,,,,,,,Envelopes,"$16,128.05",,,,,,,,,
,,,,,,,,Fasteners,"$3,001.96",,,,,,,,,
,,,,,,,,Labels,"$12,347.73",,,,,,,,,
,,,,,,,,Paper,"$76,828.30",,,,,,,,,
,,,,,,,,Storage,"$219,343.39",,,,,,,,,
,,,,,,,,Supplies,"$46,420.31",,,,,,,,,
,,,,,,,,Technology,"$827,455.87",,,,,,,,,
,,,,,,,,Accessories,"$164,186.70",,,,,,,,,
,,,,,,,,Copiers,"$146,248.09",,,,,,,,,
,,,,,,,,Machines,"$189,238.63",,,,,,,,,
,,,,,,,,Phones,"$327,782.45",,,,,,,,,
,,,,,,,,Grand Total,"$2,261,536.78",,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
